14.96,1.47
14.89,1.41
15.47,1.28
12.30,1.22
16.65,1.14
16.61,1.10
15.64,1.07
17.77,1.06
13.19,1.04
14.93,1.03
14.76,0.99
14.61,0.96
14.37,0.96
16.39,0.95
15.20,0.93
13.91,0.93
16.06,0.92
12.73,0.91
16.59,0.89
16.14,0.85
14.74,0.84
14.01,0.84
13.26,0.83
15.93,0.82
13.93,0.82
18.27,0.81
17.03,0.81
15.57,0.81
17.50,0.80
15.30,0.80
16.28,0.80
15.18,0.77
13.54,0.77
12.93,0.76
17.22,0.75
15.38,0.75
15.98,0.75
15.66,0.75
15.35,0.74
17.35,0.73
15.80,0.73
12.75,0.71
13.61,0.70
15.08,0.70
15.41,0.69
15.45,0.69
15.82,0.69
16.23,0.68
18.43,0.68
16.64,0.67
17.11,0.64
10.06,0.63
14.20,0.63
11.22,0.63
16.60,0.62
13.75,0.61
12.89,0.60
11.66,0.60
13.09,0.59
15.79,0.59
17.76,0.58
17.14,0.58
19.76,0.57
11.85,0.56
13.58,0.55
15.86,0.55
11.99,0.55
17.29,0.54
17.25,0.54
8.64,0.53
18.25,0.52
16.95,0.52
15.97,0.52
14.80,0.52
13.47,0.52
16.20,0.52
13.90,0.52
14.50,0.51
19.64,0.51
16.34,0.51
16.36,0.51
16.13,0.50
11.33,0.50
15.21,0.50
16.45,0.50
13.01,0.49
16.67,0.48
17.19,0.48
16.71,0.47
12.38,0.47
16.91,0.47
12.81,0.47
14.79,0.47
12.62,0.47
14.23,0.46
17.27,0.46
16.52,0.46
14.43,0.46
16.78,0.46
13.51,0.45
18.07,0.44
16.27,0.44
19.52,0.44
16.86,0.44
15.95,0.44
16.21,0.44
14.81,0.43
15.85,0.43
16.63,0.43
12.61,0.43
18.16,0.43
18.36,0.43
16.35,0.42
12.23,0.42
13.34,0.41
14.18,0.41
13.86,0.41
17.82,0.41
16.26,0.41
15.48,0.41
19.39,0.41
13.87,0.41
16.80,0.40
17.37,0.40
16.97,0.40
12.94,0.40
15.39,0.40
16.56,0.39
19.43,0.39
17.65,0.39
17.34,0.39
18.30,0.39
12.17,0.39
18.32,0.39
16.02,0.39
14.19,0.39
16.51,0.39
15.25,0.39
16.38,0.39
15.91,0.38
15.53,0.38
17.53,0.38
13.45,0.38
14.98,0.38
15.07,0.37
13.39,0.37
14.70,0.37
14.41,0.37
17.56,0.37
15.17,0.37
17.21,0.37
13.97,0.37
14.86,0.37
14.64,0.37
15.50,0.37
19.12,0.36
16.79,0.36
18.23,0.36
14.63,0.36
14.05,0.36
17.96,0.36
18.53,0.36
18.06,0.36
13.98,0.36
16.42,0.35
14.25,0.35
15.31,0.35
12.34,0.35
14.33,0.35
16.24,0.35
17.59,0.35
14.97,0.35
15.16,0.35
14.66,0.35
14.99,0.35
17.20,0.34
14.22,0.34
13.11,0.34
13.52,0.33
17.97,0.33
15.42,0.33
15.49,0.33
13.63,0.33
12.20,0.33
20.75,0.33
14.54,0.33
17.47,0.33
16.88,0.32
14.90,0.32
12.71,0.32
12.21,0.32
17.39,0.32
12.79,0.32
13.67,0.32
11.95,0.32
16.01,0.32
15.77,0.32
14.95,0.32
14.91,0.31
16.69,0.31
15.04,0.31
18.04,0.31
17.58,0.30
13.30,0.30
16.43,0.30
12.49,0.30
15.74,0.30
15.73,0.29
14.28,0.29
24.79,0.29
12.80,0.29
13.72,0.28
16.37,0.28
13.71,0.28
14.26,0.28
12.28,0.28
17.46,0.28
15.87,0.27
14.77,0.27
17.15,0.27
11.87,0.27
15.23,0.26
13.83,0.26
15.92,0.26
16.68,0.26
14.69,0.25
13.77,0.25
18.24,0.25
15.68,0.25
15.60,0.25
17.32,0.25
17.73,0.25
14.60,0.25
14.94,0.24
7.57,0.23
16.53,0.23
11.12,0.23
14.10,0.23
16.55,0.23
27.38,0.22
15.51,0.22
13.25,0.21
13.94,0.21
14.24,0.20
17.28,0.19
16.66,0.19
15.14,0.19
15.61,0.19
16.11,0.17
12.57,0.17
12.47,0.17
13.82,0.17
15.27,0.16
8.39,0.16
13.16,0.10
